Ticker,Name,Sector,SubSector,Incorporation Date,Leaving Date
CRH,CRH plc,Materials,Construction Materials,22/12/2025,27/12/2025
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,01/01/2000,22/12/2025
CVNA,Carvana,Consumer Discretionary,Specialty Retail,22/12/2025,27/12/2025
SOLS,Solstice Advanced Materials,Materials,Chemicals,01/01/2000,22/12/2025
FIX,Comfort Systems USA,Industrials,Construction & Engineering,22/12/2025,27/12/2025
MHK,Mohawk Industries,Consumer Discretionary,Household Durables,01/01/2000,22/12/2025
ARES,Ares Management,Financials,Asset Management & Custody Banks,11/12/2025,27/12/2025
K,Kellanova,Consumer Staples,Packaged Foods & Meats,01/01/2000,11/12/2025
SNDK,Sandisk,Information Technology,Technology Hardware Storage & Peripherals,28/11/2025,27/12/2025
IPG,Interpublic Group,Communication Services,Advertising,01/01/2000,28/11/2025
EMN,Eastman Chemical Co.,Materials,Chemicals,01/01/2000,04/11/2025
Q,Qnity Electronics,Information Technology,Electronic Components,03/11/2025,27/12/2025
KMX,CarMax,Consumer Discretionary,Specialty Retail,01/01/2000,31/10/2025
SOLS,Solstice Advanced Materials,Materials,Chemicals,30/10/2025,27/12/2025
EME,Emcor,Industrials,Construction & Engineering,22/09/2025,27/12/2025
ENPH,Enphase Energy,Information Technology,Semiconductor & Semiconductor Equipment,01/01/2000,22/09/2025
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,22/09/2025,27/12/2025
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,01/01/2000,22/09/2025
APP,AppLovin,Information Technology,Application Software,22/09/2025,27/12/2025
MKTX,MarketAxess,Financials,Capital Markets,01/01/2000,22/09/2025
IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,28/08/2025,27/12/2025
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,01/01/2000,28/08/2025
XYZ,Block Inc.,Information Technology,Data Processing & Outsourced Services,23/07/2025,27/12/2025
HES,Hess Corporation,Energy,Oil & Gas Exploration & Production,01/01/2000,23/07/2025
TTD,The Trade Desk,Communication Services,Advertising,18/07/2025,27/12/2025
ANSS,Ansys,Information Technology,Application Software,01/01/2000,18/07/2025
DDOG,Datadog,Information Technology,Systems Software,09/07/2025,27/12/2025
JNPR,Juniper Networks,Information Technology,Communications Equipment,01/01/2000,09/07/2025
COIN,Coinbase,Financials,Financial Exchanges & Data,19/05/2025,27/12/2025
DFS,Discover Financial,Financials,Consumer Finance,01/01/2000,19/05/2025
DASH,DoorDash,Consumer Discretionary,Internet & Direct Marketing Retail,24/03/2025,27/12/2025
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,01/01/2000,24/03/2025
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,24/03/2025,27/12/2025
TFX,Teleflex,Health Care,Health Care Equipment,01/01/2000,24/03/2025
WSM,Williams-Sonoma Inc.,Consumer Discretionary,Specialty Retail,24/03/2025,27/12/2025
CE,Celanese,Materials,Chemicals,01/01/2000,24/03/2025
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,24/03/2025,27/12/2025
FMC,FMC Corporation,Materials,Chemicals,01/01/2000,24/03/2025
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,23/12/2024,27/12/2025
QRVO,Qorvo,Information Technology,Semiconductors,01/01/2000,23/12/2024
WDAY,Workday Inc.,Information Technology,Application Software,23/12/2024,27/12/2025
AMTM,Amentum,Industrials,Commercial Services & Supplies,01/01/2000,23/12/2024
LII,Lennox International,Industrials,Building Products,23/12/2024,27/12/2025
CTLT,Catalent,Health Care,Pharmaceuticals,01/01/2000,23/12/2024
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,26/11/2024,27/12/2025
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,01/01/2000,26/11/2024
BBWI,Bath & Body Works Inc.,Consumer Discretionary,Specialty Retail,01/01/2000,01/10/2024
